City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,51.8,62,75,10.36,light rain
1,Saint George,US,37.1041,-113.5841,71.01,9,1,3.44,clear sky
2,Zlobin,HR,45.2924,14.6541,39.2,41,0,5.75,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,50.0,81,90,8.05,overcast clouds
4,Hilo,US,19.7297,-155.09,69.8,83,90,6.91,light rain
5,Atuona,PF,-9.8,-139.0333,80.67,79,68,10.6,broken clouds
6,Torbay,CA,47.6666,-52.7314,37.99,100,90,9.22,moderate rain
7,Port Elizabeth,ZA,-33.918,25.5701,57.99,92,36,1.01,scattered clouds
8,New Norfolk,AU,-42.7826,147.0587,52.0,81,56,2.37,broken clouds
9,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,40,6.91,scattered clouds
10,Hermanus,ZA,-34.4187,19.2345,60.01,90,30,1.01,scattered clouds
11,Kaeo,NZ,-35.1,173.7833,61.0,90,100,5.01,overcast clouds
12,Candolim,IN,15.5181,73.7626,84.2,84,40,2.3,scattered clouds
13,Chapais,CA,49.7834,-74.8492,53.6,47,1,4.61,clear sky
14,San Patricio,US,28.017,-97.5169,81.0,69,75,28.77,broken clouds
15,Huarmey,PE,-10.0681,-78.1522,75.49,73,96,11.34,overcast clouds
16,Cabo San Lucas,MX,22.8909,-109.9124,79.0,60,1,11.5,clear sky
17,Yellowknife,CA,62.456,-114.3525,19.4,73,75,16.11,snow
18,Mataura,NZ,-46.1927,168.8643,55.0,84,100,4.0,overcast clouds
19,Airai,TL,-8.9266,125.4092,59.77,85,78,0.98,broken clouds
20,Bredasdorp,ZA,-34.5322,20.0403,53.6,100,67,3.44,broken clouds
21,Kodiak,US,57.79,-152.4072,37.4,52,1,8.05,clear sky
22,Ridgecrest,US,35.6225,-117.6709,78.8,11,1,4.61,clear sky
23,Qaanaaq,GL,77.484,-69.3632,1.98,84,100,1.66,overcast clouds
24,Berezovyy,RU,51.6667,135.7,21.49,93,100,6.67,snow
25,Vaini,TO,-21.2,-175.2,77.0,83,75,6.91,broken clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,73.0,88,40,14.97,scattered clouds
27,Kapaa,US,22.0752,-159.319,77.0,50,40,21.85,scattered clouds
28,Kenai,US,60.5544,-151.2583,24.8,36,1,5.55,clear sky
29,Barrow,US,71.2906,-156.7887,-5.8,77,1,10.36,clear sky
30,Ancud,CL,-41.8697,-73.8203,63.0,82,75,18.41,light rain
31,Jamestown,US,42.097,-79.2353,69.8,43,1,6.91,clear sky
32,Maniitsoq,GL,65.4167,-52.9,23.47,81,19,4.56,few clouds
33,Rikitea,PF,-23.1203,-134.9692,76.86,72,9,10.04,clear sky
34,Springbok,ZA,-29.6643,17.8865,64.89,50,0,2.89,clear sky
35,Bethel,US,41.3712,-73.414,66.2,26,1,9.22,clear sky
36,Bengkulu,ID,-3.8004,102.2655,74.1,87,99,4.74,overcast clouds
37,Mahebourg,MU,-20.4081,57.7,77.0,94,40,6.91,scattered clouds
38,Pastavy,BY,55.1168,26.8326,33.17,82,100,5.82,light snow
39,Esperance,AU,-33.8667,121.9,64.4,100,90,5.75,overcast clouds
40,Dhanwar,IN,24.4167,85.9833,76.96,24,0,6.06,clear sky
41,Zhigansk,RU,66.7697,123.3711,-12.48,99,95,9.91,overcast clouds
42,Ust-Maya,RU,60.4167,134.5333,-1.23,96,100,3.04,overcast clouds
43,Lingao,CN,19.9103,109.6859,72.91,91,56,12.17,broken clouds
44,Dikson,RU,73.5069,80.5464,-6.41,100,92,5.93,overcast clouds
45,Minas De Barroteran,MX,27.6333,-101.2833,95.97,19,7,13.24,clear sky
46,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,20,11.5,few clouds
47,Plettenberg Bay,ZA,-34.0527,23.3716,63.48,76,85,5.01,overcast clouds
48,Castro,BR,-24.7911,-50.0119,62.83,89,60,4.23,broken clouds
49,Avarua,CK,-21.2078,-159.775,82.4,69,20,13.8,few clouds
50,Busselton,AU,-33.65,115.3333,60.01,97,73,5.53,broken clouds
51,Norman Wells,CA,65.282,-126.8329,3.2,60,75,4.61,broken clouds
52,Wajir,KE,1.7471,40.0573,83.43,59,61,14.29,broken clouds
53,Chokurdakh,RU,70.6333,147.9167,-21.17,92,98,1.79,overcast clouds
54,Bandarbeyla,SO,9.4942,50.8122,78.49,61,99,9.86,overcast clouds
55,Hithadhoo,MV,-0.6,73.0833,83.32,61,97,10.42,overcast clouds
56,Lebu,CL,-37.6167,-73.65,58.55,87,100,8.28,light rain
57,Nikolskoye,RU,59.7035,30.7861,36.0,75,0,8.95,clear sky
58,Lieksa,FI,63.3167,30.0167,30.7,90,92,18.3,overcast clouds
59,Butaritari,KI,3.0707,172.7902,80.11,76,100,4.29,overcast clouds
60,Yar-Sale,RU,66.8333,70.8333,22.5,92,99,13.35,overcast clouds
61,Tazovskiy,RU,67.4667,78.7,28.99,94,100,13.8,overcast clouds
62,Dingle,PH,10.9995,122.6711,74.26,90,91,6.8,light rain
63,High Level,CA,58.5169,-117.136,37.4,65,75,9.22,broken clouds
64,Severo-Kurilsk,RU,50.6789,156.125,26.55,73,18,16.06,few clouds
65,Aklavik,CA,68.2191,-135.0107,1.4,60,90,3.44,overcast clouds
66,Olenino,RU,56.2092,33.4889,31.23,74,100,4.0,overcast clouds
67,Kaitangata,NZ,-46.2817,169.8464,57.99,80,100,5.01,overcast clouds
68,Albany,US,42.6001,-73.9662,66.0,15,5,1.01,clear sky
69,Victor Harbor,AU,-35.5667,138.6167,61.0,100,0,4.27,clear sky
70,Shebalino,RU,51.2917,85.6772,34.43,94,94,3.6,overcast clouds
71,Provideniya,RU,64.3833,-173.3,5.0,66,0,6.71,clear sky
72,Baghdad,IQ,33.3406,44.4009,68.0,40,0,4.61,clear sky
73,Padang,ID,-0.9492,100.3543,75.2,100,75,3.44,light rain
74,Half Moon Bay,US,37.4636,-122.4286,64.99,76,75,9.22,haze
75,Syedove,UA,47.0768,38.156,44.01,53,100,11.99,overcast clouds
76,Khor,RU,47.8861,134.9464,28.17,46,57,11.56,broken clouds
