City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Mahibadhoo,MV,83.12,overcast clouds,3.7833,72.9667,Omadhoo Inn
383,Alappuzha,IN,81.25,few clouds,9.49,76.3264,Panoramic Sea Resort
385,Sri Aman,MY,75.2,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
388,Tarakan,ID,77.85,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
389,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
390,Canutama,BR,81.79,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
403,Isangel,VU,78.6,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
404,Port Blair,IN,80.08,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
405,Cartagena Del Chaira,CO,76.03,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
407,Tautira,PF,86.0,few clouds,-17.7333,-149.15,Pension Oaoa
409,Turbat,PK,79.34,clear sky,26.0023,63.044,Mubashar Quarters
416,Poum,NC,78.12,overcast clouds,-20.2333,164.0167,Gîte kajeon
419,West Bay,KY,84.2,scattered clouds,19.3667,-81.4167,Calypso Cove
420,Mattru,SL,78.26,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
423,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
424,Balod,IN,78.67,clear sky,20.73,81.2047,CJM Bunglow
428,Vilhena,BR,78.8,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
430,Kutum,SD,77.22,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
434,Telhara,IN,88.48,clear sky,21.0269,76.8389,Raj Pan Palace
435,Puerto Baquerizo Moreno,EC,78.8,light rain,-0.9,-89.6,Hotel los Algarrobos
440,Belmonte,BR,77.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
441,Bubaque,GW,76.82,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
442,Puerto Leguizamo,CO,81.46,overcast clouds,-0.1934,-74.7819,la casona de juancho
444,Kankakee,US,80.6,scattered clouds,41.15,-87.8667,Fairfield Inn by Marriott Kankakee Bourbonnais
449,Pekan,MY,78.8,few clouds,3.4836,103.3996,Pekan Budget Hotel
453,Kavaratti,IN,82.89,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
455,Mulege,MX,88.88,clear sky,26.8833,-111.9833,Casa Granada
458,Wilmington,US,84.2,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
463,Mount Isa,AU,75.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
466,Fare,PF,80.26,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
467,Havelock,US,82.4,clear sky,34.8791,-76.9013,Sherwood Motel
468,Sao Filipe,CV,76.66,clear sky,14.8961,-24.4956,Tortuga B&B
469,Chimore,BO,78.71,overcast clouds,-16.9833,-65.1333,Bichito
477,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
478,Eyl,SO,77.36,broken clouds,7.9803,49.8164,Amiin Hotel
479,Varkkallai,IN,84.2,mist,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
481,Aswan,EG,81.61,clear sky,24.0934,32.907,Nuba Nile
482,Rio Grande,BR,78.8,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
483,Sedhiou,SN,82.08,clear sky,12.7081,-15.5569,Auberge Cheznous
511,Nabire,ID,76.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
512,Urucara,BR,82.69,overcast clouds,-2.5364,-57.76,Hotel japa
519,Feijo,BR,80.04,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
520,Elesbao Veloso,BR,80.47,overcast clouds,-6.2019,-42.1403,Pousada Paraiso
523,Umm Lajj,SA,78.67,clear sky,25.0213,37.2685,Moon light Furnished Units
534,Sao Lourenco Do Sul,BR,78.8,scattered clouds,-31.3653,-51.9783,Hotel Pousada Verde Água
535,Boca Do Acre,BR,87.3,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
538,Nieuw Amsterdam,SR,86.0,few clouds,5.8833,-55.0833,Hotel Stardust
540,Mandapam,IN,82.49,broken clouds,9.2833,79.1167,Tanvi Chachaa Chalet
543,Kroya,ID,77.22,light rain,-7.6331,109.2461,RUSTANTO Fam
546,Lufkin,US,82.4,overcast clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
547,Tandil,AR,79.0,clear sky,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
551,Muisne,EC,84.2,broken clouds,0.6,-80.0333,Quinta Samay
556,Punahana,IN,90.0,overcast clouds,27.8667,77.2,Aatam dairy
565,Honiara,SB,77.31,overcast clouds,-9.4333,159.95,Heritage Park Hotel
569,Brokopondo,SR,78.76,broken clouds,4.75,-55.1667,Matu Island
571,Villa Maria,AR,81.0,clear sky,-32.4075,-63.2402,Hotel Milenium
576,Buala,SB,78.28,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
580,Abeche,TD,85.69,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
585,Tibati,CM,80.11,overcast clouds,6.4667,12.6333,Tibati Hotel
587,Ambon,ID,80.71,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
599,Mangalam,IN,79.52,broken clouds,9.7667,78.6667,Boys Hostel
613,Paita,PE,82.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
616,Amahai,ID,77.88,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
624,Bonthe,SL,80.31,light rain,7.5264,-12.505,Bonthe Holiday Village
625,Antalaha,MG,76.68,light rain,-14.9003,50.2788,Hotel Vitasoa
626,Ardmore,US,78.01,broken clouds,34.1743,-97.1436,Candlewood Suites Ardmore
630,Susangerd,IR,75.2,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
640,Kontagora,NG,87.57,clear sky,10.3999,5.4695,Queens Guest Inn
642,Artigas,UY,76.57,few clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
643,Guntakal,IN,81.0,few clouds,15.1667,77.3833,Vasavi Pipes Office
645,Thiruvananthapuram,IN,84.2,mist,8.4833,76.9167,Hotel Residency Tower
648,Necochea,AR,81.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
650,Dumas,US,84.0,clear sky,35.8656,-101.9732,Holiday Inn Express & Suites Dumas
653,Tierralta,CO,83.93,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
654,Kuching,MY,77.0,few clouds,1.55,110.3333,The Ranee Boutique Suites
661,Simga,IN,83.39,clear sky,21.6333,81.7,OM Hotel & Sweet
666,Olinda,BR,80.6,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
